project_name,maturity,tag,accepted_date,sandbox_date,incubating_date,graduated_date,archived_date,num_security_audits,last_security_audit_date
.net core,graduated,,,,,,,0,
actix,sandbox,,,,,,,0,
ant,graduated,,,,,,,0,
asp.net core,graduated,,,,,,,0,
azure quantum,graduated,,,,,,,0,
cargo,graduated,,,,,,,0,
cmake,graduated,,,,,,,0,
cpack,graduated,,,,,,,0,
crates.io,graduated,,,,,,,0,
dataframes.jl,graduated,,,,,,,0,
differentialequations.jl,graduated,,,,,,,0,
django,graduated,,,,,,,0,
drake,graduated,,,,,,,0,
entity framework core,graduated,,,,,,,0,
fastapi,sandbox,,,,,,,0,
flask,graduated,,,,,,,0,
flux.jl,graduated,,,,,,,0,
gazebo,graduated,,,,,,,0,
glassfish,graduated,,,,,,,0,
gradle,graduated,,,,,,,0,
grpc,graduated,,,,,,,0,
gunicorn,graduated,,,,,,,0,
hypercorn,sandbox,,,,,,,0,
iis,graduated,,,,,,,0,
iis,sandbox,,,,,,,0,
ionq,sandbox,,,,,,,0,
isaac sim,sandbox,,,,,,,0,
j2ee,graduated,,,,,,,0,
jetty,graduated,,,,,,,0,
julia,graduated,,,,,,,0,
kestrel,graduated,,,,,,,0,
linearalgebra,graduated,,,,,,,0,
make,graduated,,,,,,,0,
makie.jl,graduated,,,,,,,0,
maven,graduated,,,,,,,0,
micronaut,sandbox,,,,,,,0,
mlj,graduated,,,,,,,0,
moveit,graduated,,,,,,,0,
nginx,graduated,,,,,,,0,
ninja,graduated,,,,,,,0,
nuget,graduated,,,,,,,0,
payara,graduated,,,,,,,0,
pip,graduated,,,,,,,0,
pkg,graduated,,,,,,,0,
plots.jl,graduated,,,,,,,0,
poetry,graduated,,,,,,,0,
pypi,graduated,,,,,,,0,
q# language,graduated,,,,,,,0,
quantinuum,sandbox,,,,,,,0,
quarkus,graduated,,,,,,,0,
resource estimator,graduated,,,,,,,0,
rigetti,sandbox,,,,,,,0,
rocket,sandbox,,,,,,,0,
ros 1,graduated,,,,,,,0,
ros 2,graduated,,,,,,,0,
rust,graduated,,,,,,,0,
rustup,graduated,,,,,,,0,
rviz,graduated,,,,,,,0,
spring boot,graduated,,,,,,,0,
spring cloud,graduated,,,,,,,0,
spring initializr,graduated,,,,,,,0,
starlette,graduated,,,,,,,0,
staticarrays,graduated,,,,,,,0,
statsplots.jl,graduated,,,,,,,0,
tf,graduated,,,,,,,0,
tokio,graduated,,,,,,,0,
tomcat,graduated,,,,,,,0,
tornado,graduated,,,,,,,0,
ubuntu,graduated,,,,,,,0,
uvicorn,sandbox,,,,,,,0,
uwsgi,graduated,,,,,,,0,
visual studio,graduated,,,,,,,0,
warp,graduated,,,,,,,0,
webots,graduated,,,,,,,0,
wildfly,graduated,,,,,,,0,
xcode,graduated,,,,,,,0,
